[2025-01-31T08:51:17.316+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T08:49:46.476555+00:00 [queued]>
[2025-01-31T08:51:17.322+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T08:49:46.476555+00:00 [queued]>
[2025-01-31T08:51:17.322+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-31T08:51:17.340+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): process_and_upload> on 2025-01-31 08:49:46.476555+00:00
[2025-01-31T08:51:17.352+0000] {standard_task_runner.py:57} INFO - Started process 1750 to run task
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.752+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.753+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.754+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.755+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.756+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T08:51:21.758+0000] {logging_mixin.py:150} INFO - [INFO] No valid records found after parsing.
[2025-01-31T08:51:21.761+0000] {python.py:183} INFO - Done. Returned value was: None
[2025-01-31T08:51:21.777+0000] {taskinstance.py:1350} INFO - Marking task as SUCCESS. dag_id=naver_flight_pipeline, task_id=process_and_upload, execution_date=20250131T084946, start_date=20250131T085117, end_date=20250131T085121
[2025-01-31T08:51:21.827+0000] {local_task_job_runner.py:225} INFO - Task exited with return code 0
[2025-01-31T08:51:21.864+0000] {taskinstance.py:2653} INFO - 0 downstream tasks scheduled from follow-on schedule check
